Date,Predicted_Close
2023-01-12,388.0196838378906
2023-01-13,388.08001708984375
2023-01-26,397.2814636230469
2023-01-27,397.2082214355469
2023-02-02,402.12298583984375
2023-02-03,402.0645751953125
2023-02-09,409.4264831542969
2023-02-10,409.6770935058594
2023-02-16,410.18212890625
2023-02-17,410.4682312011719
2023-03-02,394.81463623046875
2023-03-03,394.8127746582031
2023-03-09,400.7933349609375
2023-03-10,400.7907409667969
2023-03-16,385.39385986328125
2023-03-17,385.4421691894531
2023-03-23,391.50787353515625
2023-03-24,391.44378662109375
2023-03-30,394.2032775878906
2023-03-31,394.1553649902344
